periodo,registros,q1,mediana,q3,intervalo_interquartil,limite_superior,outliers_altos,percentual_registros,percentual_valor
Geral,31740,120.0,2800.0,22531.065,22411.065,56147.66249999999,5139,16.19092627599244,94.07480209072624
2024,15026,99.64,2770.3,23319.52,23219.88,58149.34,2417,16.085451883402104,94.26258199063646
2025,16714,132.075,2865.5,22020.862500000003,21888.787500000002,54854.043750000004,2716,16.249850424793586,93.85845452228176
