rodada,variavel,categoria,n,pearson,spearman,acima_0_3
1,valorLiquidadoEmpenho,,31160,0.9139640028925584,0.8834986429002042,True
1,valorPagoEmpenho,,31160,0.9138455448026412,0.8821066129399224,True
1,saldoAPagar,,31160,0.03775974242163576,0.06781783096737919,False
1,ValorAnuladoEmpenho,,31160,0.5608875481513271,0.3016649549557177,True
1,valorPagoRestosEmpenho,,31160,0.30514629214649847,0.21302941794856933,True
1,valorRestosAPagarNaoProcessados,,31160,0.2781855234064586,0.21707713728945427,False
1,valorRestosAPagarProcessados,,31160,0.1657034234095777,0.09318956623497328,False
1,valorRestosAPagarCancelados,,31160,0.05493373465018618,0.053896116586183665,False
1,saldoALiquidar,,31160,0.03107112959009365,0.07592815792164033,False
1,saldoAPagarLiquidado,,31160,0.30520087287174463,0.22045670345619123,True
1,linhas_acao,,31739,-0.06689653698869627,-0.3324308675474455,False
1,orcado_acao,,31739,0.07461066367100974,-0.11866492586915865,False
1,orcado_atualizado_acao,,31739,0.07999919215507369,-0.10962981004376272,False
1,empenhado_acao,,31739,0.06015030062060805,-0.17960245189590526,False
1,liquidado_acao,,31739,0.05671868218809845,-0.18192338544477143,False
1,pago_acao,,31739,0.0563178611892886,-0.18104620732047186,False
1,mes,,31740,-0.06403163932701297,-0.0813744767626922,False
1,trimestre,,31740,-0.05560922494242279,-0.06460198288140945,False
1,dia_ano,,31740,-0.06627871366657484,-0.07428255908698814,False
1,dia_semana,,31740,0.011185835697917012,0.018427542538001704,False
1,ano,,31740,-0.008428229907784583,0.01750213146328449,False
1,fim_ano,,31740,-0.025825509685050655,-0.009891642896247716,False
1,possui_licitacao,,31740,0.0549249312726974,0.3933658786320991,False
1,possui_contrato,,31740,0.11783732396362952,0.35741615378850955,False
1,possui_numeroControleProcesso,,31740,,,False
2,descricaoFuncao_top1,Saúde,31740,-0.036472974614305285,-0.19958438598951062,False
2,descricaoFuncao_top2,Administração,31740,-0.0408476081828957,-0.06590748809736538,False
2,descricaoFuncao_top3,Educação,31740,0.08635730581348645,0.14787532058180783,False
2,descricaoFuncao_top4,Urbanismo,31740,0.06217917557930594,0.16757439488091497,False
2,descricaoFuncao_top5,Segurança Pública,31740,-0.020274559615176206,0.05439600704797184,False
2,grupoElemento_top1,OUTRAS DESPESAS CORRENTES,31740,-0.09460427947083941,-0.3460983802274677,False
2,grupoElemento_top2,PESSOAL E ENCARGOS SOCIAIS,31740,0.04038774190070055,0.26871494847240845,False
2,grupoElemento_top3,INVESTIMENTOS,31740,0.09357498746119924,0.18103725643006832,False
2,grupoElemento_top4,AMORTIZACAO DA DIVIDA,31740,0.0420612499173149,0.06103746227969403,False
2,grupoElemento_top5,JUROS E ENCARGOS DA DIVIDA,31740,0.03330199173574132,0.03727230708499424,False
