nomeEntidade,ano,descricaoPrograma,descricao,objetivo,descricaoOrgao,descricaoUnidade,descricaoFuncao,descricaoSubfuncao,idAcao,descricaoAcao,natureza,idDespesa,numeroElemento,descricaoElemento,descricaoLocalizador,categoriaEconomica,valorOrcado,valorOrcadoAlterado,valorOrcadoAtualizado,valorEmpenhado,valorEmpenhadoAtualizado,valorLiquidado,valorLiquidadoAtualizado,valorALiquidar,valorPago,valorPagoAnulado,valorPagoAtualizado,valorAPagarEmpenhado,valorAPagarLiquidado,"percentualEmpenhadoSobreOrcadoInicial","percentualEmpenhadoSobreOrcadoAtualizado","percentualLiquidadoSobreOrcadoInicial","percentualLiquidadoSobreOrcadoAtualizado","percentualPagoSobreOrcadoInicial","percentualPagoSobreOrcadoAtualizado",fontesRecursos,informacaoPlanejamento,empenhos,suplementacoes,descricaoRecurso
"FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CRICIUMA",2025,"GESTÃO DA POLITICA MUNICIPAL DE ASSISTÊNCIA SOCIAL","Manut. da Proteção Social Especial - SUAS","Garantir financiamento para as ações socioassistenciais ofertados através das entidades do município, bem como a estrutura necessária para o funcionamento da gestão de assistência social;- Monitorar e avaliar os serviços socioassistenciais governamentais e não governamentais visando à garantia dos serviços prestados;- Promover a participação de profissionais e conselheiros em eventos afetos à politica de assistência social, com vistas à formação profissional e o exercício do controle social.","FUNDO MUN. DE ASSIST. SOCIAL","Gestão da Assistência Social","Assistência Social","Assistência Comunitária",1068,"Manut. da Proteção Social Especial - SUAS","TRANSFERÊNCIAS A MUNICÍPIOS",20,33400000000000,"TRANSFERÊNCIAS A MUNICÍPIOS","FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE CRICIUMA","DESPESAS CORRENTES",0,9353.38,9353.38,9353.38,9353.38,9353.38,9353.38,0.0,9353.38,0,9353.38,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,"fontesRecursos_79a0f975-f0fd-40c7-bb41-be1599425295.csv","informacaoPlanejamento_d3264efd-52c9-447b-b6d4-f412389049e6.csv","empenhos_cc5b0f6d-25a9-42ff-b90c-d2e9db9466f4.csv","suplementacoes_7adb0642-64e7-4c1c-b94c-008a47070050.csv"," "
"FUNDACAO CULTURAL DE CRICIUMA",2025,"CULTURA PARA TODOS","Desenvolvimento Artistico e Cultural","Tem por objetivo incentivar, difundir, fomentar e promover a prática e o desenvolvimento de atividades culturais artísticas e turísticas do Município. Atender melhor as crianças através dos programas disponíveis e os a serem ampliados e melhorados.","FUNDAÇÃO MUN. DE CULTURA","Fundação Mun. de Cultura",Cultura,"Patrimônio Histórico, Artístico e Arqueológico",1089,"Desenvolvimento Artistico e Cultural","TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS",7,33500000000000,"TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS","FUNDACAO CULTURAL DE CRICIUMA","DESPESAS CORRENTES",700000,0,700000,420000.0,420000.0,135000.0,135000.0,285000.0,135000.0,0,135000.0,285000.0,0.0,60.0,60.0,19.29,19.29,19.29,518.52,"fontesRecursos_e86b716a-3221-4577-b034-b3e1244f2612.csv","informacaoPlanejamento_4f7c90ae-a3a7-477c-a13c-b82a219b8189.csv","empenhos_201e739f-fbbd-4b24-b910-cd2c72503cc2.csv"," "," "
"FUNDACAO CULTURAL DE CRICIUMA",2025,"CULTURA PARA TODOS","Manut. da Fundação Cultural","Tem por objetivo incentivar, difundir, fomentar e promover a prática e o desenvolvimento de atividades culturais artísticas e turísticas do Município. Atender melhor as crianças através dos programas disponíveis e os a serem ampliados e melhorados.","FUNDAÇÃO MUN. DE CULTURA","Fundação Mun. de Cultura",Cultura,"Administração Geral",1088,"Manut. da Fundação Cultural","TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS COM FINS LUCRATIVOS",4,33600000000000,"TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS COM FINS LUCRATIVOS","FUNDACAO CULTURAL DE CRICIUMA","DESPESAS CORRENTES",100000,0,100000,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"fontesRecursos_be36d323-84a9-4a09-99d8-1b12c4b984b1.csv","informacaoPlanejamento_d358f84b-d00e-45ad-b689-3d6cb7b588a0.csv"," "," "," "
"FUNDACAO CULTURAL DE CRICIUMA",2025,"CULTURA PARA TODOS","Manut. da Fundação Cultural","Tem por objetivo incentivar, difundir, fomentar e promover a prática e o desenvolvimento de atividades culturais artísticas e turísticas do Município. Atender melhor as crianças através dos programas disponíveis e os a serem ampliados e melhorados.","FUNDAÇÃO MUN. DE CULTURA","Fundação Mun. de Cultura",Cultura,"Administração Geral",1088,"Manut. da Fundação Cultural","TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS",3,33500000000000,"TRANSFERÊNCIAS A INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS","FUNDACAO CULTURAL DE CRICIUMA","DESPESAS CORRENTES",400000,0,400000,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"fontesRecursos_20350a26-010d-4fb9-b140-f4c7194bc6fc.csv","informacaoPlanejamento_094da666-ce69-4e28-b692-4c8b9180ee24.csv"," "," "," "
"FUNDACAO CULTURAL DE CRICIUMA",2025,"CULTURA PARA TODOS","Manut. da Fundação Cultural","Tem por objetivo incentivar, difundir, fomentar e promover a prática e o desenvolvimento de atividades culturais artísticas e turísticas do Município. Atender melhor as crianças através dos programas disponíveis e os a serem ampliados e melhorados.","FUNDAÇÃO MUN. DE CULTURA","Fundação Mun. de Cultura",Cultura,"Administração Geral",1088,"Manut. da Fundação Cultural","APLICAÇÕES DIRETAS",6,44900000000000,"APLICAÇÕES DIRETAS","FUNDACAO CULTURAL DE CRICIUMA","DESPESAS DE CAPITAL",700000,0,700000,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"fontesRecursos_79bf2ebc-05fb-4e4d-b698-20e0f8f951f9.csv","informacaoPlanejamento_0776331b-bf2b-4740-b434-c244d3db788a.csv"," "," "," "
"FUNDACAO CULTURAL DE CRICIUMA",2025,"GESTÃO ADMINISTRATIVA","Manutenção do Fundo Municipal do Turismo - FUMTUR","Planejar a gestão publica atraves de implementações de dados gerenciais visando a redução de custos, e estrategicas na defesa civil do municipio.","FUNDAÇÃO MUN. DE CULTURA","Fundação Mun. de Cultura","Comércio e Serviços",Turismo,1219,"Manutenção do Fundo Municipal do Turismo - FUMTUR","APLICAÇÕES DIRETAS",2,44900000000000,"APLICAÇÕES DIRETAS","FUNDACAO CULTURAL DE CRICIUMA","DESPESAS DE CAPITAL",150000,0,150000,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"fontesRecursos_9eaeff2d-ee5f-4b71-a7e5-90ee39add640.csv","informacaoPlanejamento_de9d77b3-6144-4074-997b-e7bd68db4ee0.csv"," "," "," "
"FUNDACAO CULTURAL DE CRICIUMA",2025,"CULTURA PARA TODOS","Praça da PEC","Tem por objetivo incentivar, difundir, fomentar e promover a prática e o desenvolvimento de atividades culturais artísticas e turísticas do Município. Atender melhor as crianças através dos programas disponíveis e os a serem ampliados e melhorados.","FUNDAÇÃO MUN. DE CULTURA","Fundação Mun. de Cultura",Cultura,"Serviços Urbanos",1092,"Praça da PEC","APLICAÇÕES DIRETAS",14,44900000000000,"APLICAÇÕES DIRETAS","FUNDACAO CULTURAL DE CRICIUMA","DESPESAS DE CAPITAL",5000,0,5000,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"fontesRecursos_25624ab8-4395-40a8-9bfb-905b62561501.csv","informacaoPlanejamento_bf28ce7e-8d57-4202-a43c-7a74fdac5779.csv"," "," "," "
"FUNDACAO CULTURAL DE CRICIUMA",2025,"GESTÃO ADMINISTRATIVA","Manutenção do Fundo Municipal do Turismo - FUMTUR","Planejar a gestão publica atraves de implementações de dados gerenciais visando a redução de custos, e estrategicas na defesa civil do municipio.","FUNDAÇÃO MUN. DE CULTURA","Fundação Mun. de Cultura","Comércio e Serviços",Turismo,1219,"Manutenção do Fundo Municipal do Turismo - FUMTUR","APLICAÇÕES DIRETAS",1,33900000000000,"APLICAÇÕES DIRETAS","FUNDACAO CULTURAL DE CRICIUMA","DESPESAS CORRENTES",150000,0,150000,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"fontesRecursos_7d9494f6-c98f-46ff-986c-bf7278b62ded.csv","informacaoPlanejamento_95a23814-baa7-40f5-b110-30fbcdcca6f2.csv"," "," "," "
"FUNDACAO CULTURAL DE CRICIUMA",2025,"CULTURA PARA TODOS","Praça da PEC","Tem por objetivo incentivar, difundir, fomentar e promover a prática e o desenvolvimento de atividades culturais artísticas e turísticas do Município. Atender melhor as crianças através dos programas disponíveis e os a serem ampliados e melhorados.","FUNDAÇÃO MUN. DE CULTURA","Fundação Mun. de Cultura",Cultura,"Serviços Urbanos",1092,"Praça da PEC","APLICAÇÕES DIRETAS",13,33900000000000,"APLICAÇÕES DIRETAS","FUNDACAO CULTURAL DE CRICIUMA","DESPESAS CORRENTES",5000,0,5000,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"fontesRecursos_36033861-a46a-498b-8782-8eb1c5e36f41.csv","informacaoPlanejamento_59781438-1eb9-4a88-a7c5-74288cf1ba22.csv"," "," "," "
"FUNDACAO CULTURAL DE CRICIUMA",2025,"CULTURA PARA TODOS","Unidades Culturais","Tem por objetivo incentivar, difundir, fomentar e promover a prática e o desenvolvimento de atividades culturais artísticas e turísticas do Município. Atender melhor as crianças através dos programas disponíveis e os a serem ampliados e melhorados.","FUNDAÇÃO MUN. DE CULTURA","Fundação Mun. de Cultura",Cultura,"Difusão Cultural",1090,"Unidades Culturais","APLICAÇÕES DIRETAS",12,44900000000000,"APLICAÇÕES DIRETAS","FUNDACAO CULTURAL DE CRICIUMA","DESPESAS DE CAPITAL",40000,0,40000,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"fontesRecursos_e056ff33-1277-4f92-906b-edc8ef1c269b.csv","informacaoPlanejamento_24babadc-21e7-4f8d-a663-bfa473c5c87f.csv"," "," "," "
