nomeEntidade,anoCadastro,anoExercicio,dataEmpenho,licitacao,numeroEmpenho,idElemento,descricaoOrgao,historicoEmpenho,tipoEmpenho,mascaraElemento,descricaoElemento,credor,valorEmpenho,valorLiquidadoEmpenho,valorPagoEmpenho,saldoAPagar,categoriaEmpenho,numeroControleProcesso,modalidadeAplicacao,idRecurso,descricaoRecurso,tipoRecurso,finalidade,tipoPoderOrgao,descricaoUnidade,descricaoFuncao,descricaoSubfuncao,descricaoPrograma,idProjetoAtividade,"descricaoProjetoAtividade","descricaoAplicacaoRecurso",grupoElemento,"descricaoDetalhamentoElemento",valorEmpenhado,ValorAnuladoEmpenho,valorPagoRestosEmpenho,"valorRestosAPagarNaoProcessados","valorRestosAPagarProcessados","valorRestosAPagarCancelados",saldoALiquidar,saldoAPagarLiquidado,contrato,anulacoes,itens,liquidacoes,pagamentos,dotacaoOrcamentaria,convenio,documentosFiscais,parcelas,documentosRelacionados
"FUNDO MUNICIPAL DE INCENTIVO CULTURAL DE CRICIUMA",2024,2024,2024-01-05," ",2,10722384,"FUNDO MUNICIPAL DE INCENTIVO CULTURAL DE CRICIÚMA","Ref. a autorização pelo memorando nº 13/2024 da Diretoria de Tecnologia da Informação e Nota Técnica nº 002/2020 da Controladoria Geral do Município.
Prestação de serviços de empresa especializada em fornecimento de plataforma WEB com solução informatizada de Gestão Pública Municipal, com armazenamento em nuvem e número de usuários ilimitados, incluindo os serviços de conversão de dados, implantação, treinamento, manutenção legal, corretiva e evolutiva, bem como suporte técnico, em atendimento a Fundação Cultural do município de Criciúma/SC. Cfe. termo de apostilamento 01 do contrato nº 150/2021, de 15/06/2021.",Ordinário,33909240000000,"Serviços de Tecnologia da Informação e Comunicação","credor_3044d938-ecd6-4101-8f88-f8d095431003.csv",3366.96,3366.96,3366.96,0.0,CREDOR," ","Aplicações Diretas",150000000100,"Recursos Ordinários",Ordinário," ",Executivo,"Fundo Municipal de Incentivo Cultural",Cultura,"Difusão Cultural","CULTURA PARA TODOS",1091,"Fundo de Incentivo a Cultura"," "," ","Despesas de Exercícios Anteriores",3366.96,0.0,0,0,0,0,0.0,0.0," "," "," ","liquidacoes_b0071f44-1f59-4545-b636-d0c54ef65415.csv","pagamentos_440cf100-d362-4f5d-bf5b-00227101b2fb.csv","dotacaoOrcamentaria_cac3f4cb-5fcd-413a-b5d2-ddad4167421a.csv"," "," "," "," "
"FUNDACAO CULTURAL DE CRICIUMA",2024,2024,2024-12-06," ",76,10722222,"FUNDAÇÃO MUN. DE CULTURA","Pelo fornecimento de água.",Ordinário,33903944000000,"Serviços de Água e Esgoto","credor_0b89e000-dceb-476b-92b8-0415a31122d2.csv",37.31,0.0,0.0,37.31,CREDOR," ","Aplicações Diretas",150000000100,"Recursos Ordinários",Ordinário," ",Executivo,"Fundação Mun. de Cultura",Cultura,"Administração Geral","CULTURA PARA TODOS",1088,"Manut. da Fundação Cultural"," ","OUTRAS DESPESAS CORRENTES","Outros Serviços de Terceiros - Pessoa Jurídica",37.31,0.0,0,0,0,0,37.31,0.0," ","anulacoes_38e5828f-f3bb-460f-8b3a-7cfdc930910b.csv"," "," "," ","dotacaoOrcamentaria_cf3718f5-3827-4df5-ae24-11601fc42b69.csv"," "," "," "," "
"FUNDACAO CULTURAL DE CRICIUMA",2024,2024,2024-08-16," ",52,10722301,"FUNDAÇÃO MUN. DE CULTURA","Ref. multas de trânsito efetuado em veículo desta municipalidade, de acordo com memorando n 696221/2024. Cfe. Doc. Anexo.",Ordinário,33904715000000,Multas,"credor_ee3a8c15-c6fc-47f4-9539-df11db2e6715.csv",104.13,104.13,0,104.13,CREDOR," ","Aplicações Diretas",150000000100,"Recursos Ordinários",Ordinário," ",Executivo,"Fundação Mun. de Cultura",Cultura,"Administração Geral","CULTURA PARA TODOS",1088,"Manut. da Fundação Cultural"," ","OUTRAS DESPESAS CORRENTES","Obrigações Tributárias e Contributivas",104.13,0,0,0,104.13,0,0.0,104.13," "," "," "," "," ","dotacaoOrcamentaria_c86fbcca-cc17-45c9-b5ae-83d1ab02bec2.csv"," "," "," "," "
"FUNDO MUNICIPAL DE INCENTIVO CULTURAL DE CRICIUMA",2024,2024,2024-05-13," ",5,10722267,"FUNDO MUNICIPAL DE INCENTIVO CULTURAL DE CRICIÚMA","Prestação de serviços de empresa especializada em fornecimento de plataforma WEB com solução informatizada de Gestão Pública Municipal, com armazenamento em nuvem e número de usuários ilimitados, incluindo os serviços de conversão de dados, implantação, treinamento, manutenção legal, corretiva e evolutiva, bem como suporte técnico, em atendimento ao Fundo Municipal de Incentivo Cultural de Criciúma/SC. Cfe. termo aditivo 12 do contrato nº 150/2021, de 15/06/2021.",Ordinário,33904001000000,"Locação de equipamentos e softwares","credor_b5950cda-6d3d-4b21-8eba-b83594dc48fc.csv",25356.9,21799.32,21799.32,0.0,CREDOR," ","Aplicações Diretas",150000000100,"Recursos Ordinários",Ordinário," ",Executivo,"Fundo Municipal de Incentivo Cultural",Cultura,"Difusão Cultural","CULTURA PARA TODOS",1091,"Fundo de Incentivo a Cultura"," ","OUTRAS DESPESAS CORRENTES","Serviços de Tecnologia da Informação e Comunicação – Pessoa Jurídica",25356.9,3557.58,0,0,0,0,0.0,0.0," ","anulacoes_af3119d1-8b90-4075-9e1a-e6cbc96785a5.csv"," ","liquidacoes_3f285e11-ae16-49d4-8e0e-a5ec60779145.csv"," ","dotacaoOrcamentaria_adfd0bbc-5a87-4879-8446-8795a00a71a5.csv"," ","documentosFiscais_63d78a1f-1ab9-4c44-b71f-f7d6cab56391.csv"," "," "
"FUNDO MUNICIPAL DE INCENTIVO CULTURAL DE CRICIUMA",2024,2024,2024-12-20," ",42,10722133,"FUNDO MUNICIPAL DE INCENTIVO CULTURAL DE CRICIÚMA","Parcela Única - Apoio financeiro ao projeto cultural  “Reedição do Livro - A negrinha do Sorriso Mágico” contemplado no Edital 001/2024/FCC. Cfe. Termo de Execução Cultural nº 37, de 03/12/2024.",Ordinário,33903606000000,"Serviços Técnicos Profissionais","credor_85bf0ec0-0d1f-44f4-8259-db2a16558ba9.csv",16500,16500.0,16500.0,0.0,CONVENIO," ","Aplicações Diretas",171900000719,"Transferências da Política Nacional Aldir Blanc de Fomento à Cultura - Lei nº 14.399/2022",vinculado," ",Executivo,"Fundo Municipal de Incentivo Cultural",Cultura,"Difusão Cultural","CULTURA PARA TODOS",1091,"Fundo de Incentivo a Cultura"," ","OUTRAS DESPESAS CORRENTES","Outros Serviços de Terceiros - Pessoa Física",16500.0,0.0,0,0,0,0,0.0,0.0," "," "," ","liquidacoes_82da4092-cdda-444b-923b-3c3c9a99fc2e.csv","pagamentos_3fb7aa2b-e274-4261-ad79-45591f5d5cd3.csv","dotacaoOrcamentaria_68539bea-8b22-4b01-99d4-e6f25ceca87e.csv","convenio_95ef1fd0-b075-40d8-9f71-95b00f8fa895.csv","documentosFiscais_0686fb22-3150-4b7a-81f0-5b4541e979ab.csv"," "," "
"FUNDO MUNICIPAL DE INCENTIVO CULTURAL DE CRICIUMA",2024,2024,2024-12-20," ",39,10722133,"FUNDO MUNICIPAL DE INCENTIVO CULTURAL DE CRICIÚMA","Parcela Única - Apoio financeiro ao projeto cultural  “Lugares (in) visíveis” contemplado no Edital 001/2024/FCC. Cfe. Termo de Execução Cultural nº 34, de 03/12/2024.",Ordinário,33903606000000,"Serviços Técnicos Profissionais","credor_516782ff-1f93-4c89-bbc1-aa43a6a6f308.csv",16500,16500.0,16500.0,0.0,CONVENIO," ","Aplicações Diretas",171900000719,"Transferências da Política Nacional Aldir Blanc de Fomento à Cultura - Lei nº 14.399/2022",vinculado," ",Executivo,"Fundo Municipal de Incentivo Cultural",Cultura,"Difusão Cultural","CULTURA PARA TODOS",1091,"Fundo de Incentivo a Cultura"," ","OUTRAS DESPESAS CORRENTES","Outros Serviços de Terceiros - Pessoa Física",16500.0,0.0,0,0,0,0,0.0,0.0," "," "," ","liquidacoes_9d548314-ba4f-4673-b3da-c270b5e30768.csv","pagamentos_7d82cfc7-3b0b-4262-baf5-67ca33790265.csv","dotacaoOrcamentaria_4b2fab30-40bb-468f-b98c-3c1575122737.csv","convenio_2222b522-27a7-46d3-9439-e8020af75afd.csv","documentosFiscais_645628ee-8e13-47ce-8284-e93ece09586b.csv"," "," "
"FUNDO MUNICIPAL DE INCENTIVO CULTURAL DE CRICIUMA",2024,2024,2024-12-20," ",51,10721711,"FUNDO MUNICIPAL DE INCENTIVO CULTURAL DE CRICIÚMA","Parcela Única - Concessão de prêmio financeiro ao contemplado no Edital 002/2024/FCC. Cfe. Termo de Execução Cultural nº 47, de 03/12/2024.",Ordinário,33604199000000,"Outras Contribuições","credor_af82a5db-3aea-468f-bb35-395ff013deff.csv",35500,35500.0,35500.0,0.0,CONVENIO," ","Transferências a Instituições Privadas com Fins Lucrativos",171900000719,"Transferências da Política Nacional Aldir Blanc de Fomento à Cultura - Lei nº 14.399/2022",vinculado," ",Executivo,"Fundo Municipal de Incentivo Cultural",Cultura,"Difusão Cultural","CULTURA PARA TODOS",1091,"Fundo de Incentivo a Cultura"," ","OUTRAS DESPESAS CORRENTES",Contribuições,35500.0,0.0,0,0,0,0,0.0,0.0," "," "," ","liquidacoes_ed15d99c-05ff-4ad1-ab5f-533ec93e99e1.csv","pagamentos_e6c2fa1d-6742-4a42-b535-04de176fc885.csv","dotacaoOrcamentaria_73980014-d546-4cd8-9cf5-92db322211fd.csv","convenio_d108319a-7648-4193-bccc-86b0a397caf5.csv","documentosFiscais_bfd37648-05e1-4734-b737-5aa9b0294acf.csv"," "," "
"FUNDO MUNICIPAL DE INCENTIVO CULTURAL DE CRICIUMA",2024,2024,2024-12-20," ",33,10722133,"FUNDO MUNICIPAL DE INCENTIVO CULTURAL DE CRICIÚMA","Parcela Única - Apoio financeiro ao projeto cultural  “Educação e Cultura nas Ruas” contemplado no Edital 001/2024/FCC. Cfe. Termo de Execução Cultural nº 28, de 03/12/2024.",Ordinário,33903606000000,"Serviços Técnicos Profissionais","credor_d727b986-eed5-45c0-bb14-72b22d9248fc.csv",16500,16500.0,16500.0,0.0,CONVENIO," ","Aplicações Diretas",171900000719,"Transferências da Política Nacional Aldir Blanc de Fomento à Cultura - Lei nº 14.399/2022",vinculado," ",Executivo,"Fundo Municipal de Incentivo Cultural",Cultura,"Difusão Cultural","CULTURA PARA TODOS",1091,"Fundo de Incentivo a Cultura"," ","OUTRAS DESPESAS CORRENTES","Outros Serviços de Terceiros - Pessoa Física",16500.0,0.0,0,0,0,0,0.0,0.0," "," "," ","liquidacoes_aa3c6667-1576-48ba-a6a3-da91d0070a14.csv","pagamentos_6970beb8-a12d-40c8-9433-75e1045bce21.csv","dotacaoOrcamentaria_c4adfc5e-871a-4cfe-bba6-479e568233f2.csv","convenio_567a5be5-c332-488c-91f2-0873f0b89670.csv","documentosFiscais_832f6518-261b-4f26-9e9a-d2876a61d8f4.csv"," "," "
"FUNDO MUNICIPAL DE INCENTIVO CULTURAL DE CRICIUMA",2024,2024,2024-12-20," ",35,10722133,"FUNDO MUNICIPAL DE INCENTIVO CULTURAL DE CRICIÚMA","Parcela Única - Apoio financeiro ao projeto cultural  “Sambas e Batuques Afro Brasileiros ” contemplado no Edital 001/2024/FCC. Cfe. Termo de Execução Cultural nº 30, de 03/12/2024.",Ordinário,33903606000000,"Serviços Técnicos Profissionais","credor_501ac2ec-1201-4921-8a47-5972328e0038.csv",16500,16500.0,16500.0,0.0,CONVENIO," ","Aplicações Diretas",171900000719,"Transferências da Política Nacional Aldir Blanc de Fomento à Cultura - Lei nº 14.399/2022",vinculado," ",Executivo,"Fundo Municipal de Incentivo Cultural",Cultura,"Difusão Cultural","CULTURA PARA TODOS",1091,"Fundo de Incentivo a Cultura"," ","OUTRAS DESPESAS CORRENTES","Outros Serviços de Terceiros - Pessoa Física",16500.0,0.0,0,0,0,0,0.0,0.0," "," "," ","liquidacoes_338f32c1-1ad3-4fbd-9c9a-effb6d6c79c5.csv","pagamentos_43352526-e3af-47af-8761-239bbe926b45.csv","dotacaoOrcamentaria_e47fa4f6-57c9-48a1-92fc-dd0987f8215b.csv","convenio_81c53f7f-e695-407c-9741-e4cad9747fe8.csv","documentosFiscais_53c539e7-feaa-4a6f-a2bc-79b59145d70b.csv"," "," "
"FUNDO MUNICIPAL DE INCENTIVO CULTURAL DE CRICIUMA",2024,2024,2024-12-20," ",47,10721711,"FUNDO MUNICIPAL DE INCENTIVO CULTURAL DE CRICIÚMA","Parcela Única - Concessão de prêmio financeiro ao contemplado no Edital 002/2024/FCC. Cfe. Termo de Execução Cultural nº 41, de 03/12/2024.",Ordinário,33604199000000,"Outras Contribuições","credor_0a610c15-b0f5-413f-a4aa-0fd2648047b4.csv",35500,35500.0,35500.0,0.0,CONVENIO," ","Transferências a Instituições Privadas com Fins Lucrativos",171900000719,"Transferências da Política Nacional Aldir Blanc de Fomento à Cultura - Lei nº 14.399/2022",vinculado," ",Executivo,"Fundo Municipal de Incentivo Cultural",Cultura,"Difusão Cultural","CULTURA PARA TODOS",1091,"Fundo de Incentivo a Cultura"," ","OUTRAS DESPESAS CORRENTES",Contribuições,35500.0,0.0,0,0,0,0,0.0,0.0," "," "," ","liquidacoes_911a6408-0db7-4616-b358-83a21a9e1fbb.csv","pagamentos_fd7aa3d8-e815-420f-b710-f5d6142a3197.csv","dotacaoOrcamentaria_11691c3d-c77e-46a9-a4f8-64da357124bb.csv","convenio_80037a2e-98be-4baa-8190-71f07a8c6224.csv","documentosFiscais_41237399-4e7d-4fe8-9256-419099b12ada.csv"," "," "
